Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-143.050000,-106.500000,0.000000,bottom
"C11","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-103.750000,-71.500000,-90.000000,bottom
"C12","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-108.500000,-71.500000,-90.000000,bottom
"C13","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-142.950000,-102.000000,0.000000,bottom
"C20","100n","C_0805_2012Metric",-102.000000,-81.250000,-90.000000,bottom
"C21","100n","C_0805_2012Metric",-124.050000,-101.000000,180.000000,bottom
"D6","D_TVS","D_SMA",-133.000000,-133.000000,90.000000,bottom
"R16","10k","R_1206_3216Metric",-146.000000,-113.000000,180.000000,bottom
